date,exmn_ymd,item_cd,mrkt_cd,ctgry_cd,ctgry_nm,item_nm,price_type,split,log_price,price
2025-01-13,20250113,111,240121,100,식량작물,쌀,wholesale,test,10.791378809888585,48600.0
2024-01-02,20240102,111,240401,100,식량작물,쌀,retail,train,10.65302277174116,44900.0
2025-01-02,20250102,111,240401,100,식량작물,쌀,retail,test,10.590886188612584,41400.0
2024-01-02,20240102,111,240402,100,식량작물,쌀,retail,train,10.669444609025732,45900.0
2025-01-02,20250102,111,240402,100,식량작물,쌀,retail,test,10.657248282125543,43900.0
2024-01-02,20240102,111,250112,100,식량작물,쌀,retail,train,10.644389244931041,43400.0
2025-01-02,20250102,111,250112,100,식량작물,쌀,retail,test,10.594178710915564,40850.0
2024-01-02,20240102,111,250114,100,식량작물,쌀,wholesale,train,10.835651633566574,50800.0
2024-01-03,20240103,111,250114,100,식량작물,쌀,wholesale,train,10.835651633566574,50800.0
2024-01-04,20240104,111,250114,100,식량작물,쌀,wholesale,train,10.835651633566574,50800.0
2024-01-05,20240105,111,250114,100,식량작물,쌀,wholesale,train,10.835651633566574,50800.0
2024-01-08,20240108,111,250114,100,식량작물,쌀,wholesale,train,10.835651633566574,50800.0
2024-01-09,20240109,111,250114,100,식량작물,쌀,wholesale,train,10.835651633566574,50800.0
2024-01-10,20240110,111,250114,100,식량작물,쌀,wholesale,train,10.82377030567982,50200.0
2025-01-02,20250102,111,250114,100,식량작물,쌀,wholesale,test,10.740500768696986,46200.0
2025-01-03,20250103,111,250114,100,식량작물,쌀,wholesale,test,10.740500768696986,46200.0
2025-01-06,20250106,111,250114,100,식량작물,쌀,wholesale,test,10.740500768696986,46200.0
2025-01-07,20250107,111,250114,100,식량작물,쌀,wholesale,test,10.740500768696986,46200.0
2025-01-08,20250108,111,250114,100,식량작물,쌀,wholesale,test,10.751313705160893,46700.0
2025-01-09,20250109,111,250114,100,식량작물,쌀,wholesale,test,10.751313705160893,46700.0
2025-01-10,20250110,111,250114,100,식량작물,쌀,wholesale,test,10.751313705160893,46700.0
2025-01-13,20250113,111,250114,100,식량작물,쌀,wholesale,test,10.751313705160893,46700.0
2024-01-02,20240102,111,250402,100,식량작물,쌀,retail,train,10.685344199872201,46900.0
2025-01-02,20250102,111,250402,100,식량작물,쌀,retail,test,10.657248282125543,43900.0
2024-01-02,20240102,111,250403,100,식량작물,쌀,retail,train,10.65302277174116,44900.0
2025-01-02,20250102,111,250403,100,식량작물,쌀,retail,test,10.590886188612584,41400.0
2024-01-02,20240102,111,260001,100,식량작물,쌀,retail,train,10.655526250924265,45000.0
2025-01-02,20250102,111,260001,100,식량작물,쌀,retail,test,10.577524126685974,41500.0
2024-01-02,20240102,111,260402,100,식량작물,쌀,retail,train,10.615568550442983,43200.0
2025-01-02,20250102,111,260402,100,식량작물,쌀,retail,test,10.577524126685974,41500.0
2024-01-02,20240102,111,270101,100,식량작물,쌀,retail,train,10.6273321897466,43400.0
2025-01-02,20250102,111,270101,100,식량작물,쌀,retail,test,10.434708013301094,37100.0
2024-01-02,20240102,111,310001,100,식량작물,쌀,retail,train,10.638575475086425,44000.0
2025-01-02,20250102,111,310001,100,식량작물,쌀,retail,test,10.604079039342949,42500.0
2024-01-02,20240102,111,310402,100,식량작물,쌀,retail,train,10.641869200300908,43750.0
2025-01-02,20250102,111,310402,100,식량작물,쌀,retail,test,10.569940937516055,40350.0
2024-01-02,20240102,111,310404,100,식량작물,쌀,retail,train,10.521586528346464,39000.0
2025-01-02,20250102,111,310404,100,식량작물,쌀,retail,test,10.521949504768939,39250.0
2024-01-02,20240102,111,310405,100,식량작물,쌀,retail,train,10.59290334440539,41890.0
2025-01-02,20250102,111,310405,100,식량작물,쌀,retail,test,10.508828923664769,38400.0
2024-01-02,20240102,111,310406,100,식량작물,쌀,retail,train,10.6273321897466,43400.0
2025-01-02,20250102,111,310406,100,식량작물,쌀,retail,test,10.434708013301094,37100.0
2024-01-02,20240102,111,310407,100,식량작물,쌀,retail,train,10.563113907418229,40500.0
2025-01-02,20250102,111,310407,100,식량작물,쌀,retail,test,10.642938566930816,44500.0
2024-01-02,20240102,111,320001,100,식량작물,쌀,retail,train,10.671517773850791,45250.0
2025-01-02,20250102,111,320001,100,식량작물,쌀,retail,test,10.60814192103122,42500.0
2024-01-02,20240102,111,321411,100,식량작물,쌀,retail,train,10.65302277174116,44900.0
2025-01-02,20250102,111,321411,100,식량작물,쌀,retail,test,10.590886188612584,41400.0
2024-01-02,20240102,111,330001,100,식량작물,쌀,retail,train,10.491027242871606,38100.0
2025-01-02,20250102,111,330001,100,식량작물,쌀,retail,test,10.434409834774076,35950.0
2024-01-02,20240102,111,330401,100,식량작물,쌀,retail,train,10.630171915928234,43750.0
2025-01-02,20250102,111,330401,100,식량작물,쌀,retail,test,10.577199345901576,42000.0
2024-01-02,20240102,111,340401,100,식량작물,쌀,retail,train,10.6273321897466,43400.0
2025-01-02,20250102,111,340401,100,식량작물,쌀,retail,test,10.434708013301094,37100.0
2024-01-02,20240102,111,350001,100,식량작물,쌀,retail,train,10.588125230511276,41800.0
2025-01-02,20250102,111,350001,100,식량작물,쌀,retail,test,10.61555350583572,43150.0
2024-01-02,20240102,111,350401,100,식량작물,쌀,retail,train,10.6273321897466,43400.0
2025-01-02,20250102,111,350401,100,식량작물,쌀,retail,test,10.434708013301094,37100.0
2024-01-02,20240102,111,360401,100,식량작물,쌀,retail,train,10.65302277174116,44900.0
2025-01-02,20250102,111,360401,100,식량작물,쌀,retail,test,10.590886188612584,41400.0
2024-01-02,20240102,111,360402,100,식량작물,쌀,retail,train,10.68150612038962,45800.0
2025-01-02,20250102,111,360402,100,식량작물,쌀,retail,test,10.640411181600005,44300.0
2024-01-02,20240102,111,370001,100,식량작물,쌀,retail,train,10.572957884904337,41250.0
2025-01-02,20250102,111,370001,100,식량작물,쌀,retail,test,10.538739877521891,39750.0
2024-01-02,20240102,111,370401,100,식량작물,쌀,retail,train,10.685344199872201,46900.0
2025-01-02,20250102,111,370401,100,식량작물,쌀,retail,test,10.657248282125543,43900.0
2024-01-02,20240102,111,372401,100,식량작물,쌀,retail,train,10.6273321897466,43400.0
2025-01-02,20250102,111,372401,100,식량작물,쌀,retail,test,10.434708013301094,37100.0
2024-01-02,20240102,111,380001,100,식량작물,쌀,retail,train,10.559703808796845,40200.0
2025-01-02,20250102,111,380001,100,식량작물,쌀,retail,test,10.525096330362047,38650.0
2024-01-02,20240102,111,380402,100,식량작물,쌀,retail,train,10.6273321897466,43400.0
2025-01-02,20250102,111,380402,100,식량작물,쌀,retail,test,10.434708013301094,37100.0
2024-01-02,20240102,111,380403,100,식량작물,쌀,retail,train,10.65302277174116,44900.0
2025-01-02,20250102,111,380403,100,식량작물,쌀,retail,test,10.590886188612584,41400.0
2024-01-02,20240102,111,390001,100,식량작물,쌀,retail,train,10.62987960373049,43500.0
2025-01-02,20250102,111,390001,100,식량작물,쌀,retail,test,10.59778964823952,42150.0
2024-01-02,20240102,111,390403,100,식량작물,쌀,retail,train,10.685344199872201,46900.0
2025-01-02,20250102,111,390403,100,식량작물,쌀,retail,test,10.657248282125543,43900.0
2024-01-02,20240102,112,110212,100,식량작물,찹쌀,retail,train,8.006367567650246,3000.0
2025-01-02,20250102,112,110212,100,식량작물,찹쌀,retail,test,8.318742252692399,4100.0
2024-01-02,20240102,112,110213,100,식량작물,찹쌀,retail,train,8.333270353255308,4160.0
2025-01-02,20250102,112,110213,100,식량작물,찹쌀,retail,test,8.722580021141189,6140.0
2024-01-02,20240102,112,110253,100,식량작물,찹쌀,wholesale,train,11.58040939517547,107000.0
2024-01-03,20240103,112,110253,100,식량작물,찹쌀,wholesale,train,11.58040939517547,107000.0
2024-01-04,20240104,112,110253,100,식량작물,찹쌀,wholesale,train,11.570793714211526,106000.0
2024-01-05,20240105,112,110253,100,식량작물,찹쌀,wholesale,train,11.570793714211526,106000.0
2024-01-08,20240108,112,110253,100,식량작물,찹쌀,wholesale,train,11.598429363417068,109000.0
2024-01-09,20240109,112,110253,100,식량작물,찹쌀,wholesale,train,11.598429363417068,109000.0
2024-01-10,20240110,112,110253,100,식량작물,찹쌀,wholesale,train,11.598429363417068,109000.0
2025-01-02,20250102,112,110253,100,식량작물,찹쌀,wholesale,test,11.789868021583448,132500.0
2025-01-03,20250103,112,110253,100,식량작물,찹쌀,wholesale,test,11.789868021583448,132500.0
2025-01-06,20250106,112,110253,100,식량작물,찹쌀,wholesale,test,11.789868021583448,132500.0
2025-01-07,20250107,112,110253,100,식량작물,찹쌀,wholesale,test,11.832376547824003,138000.0
2025-01-08,20250108,112,110253,100,식량작물,찹쌀,wholesale,test,11.832376547824003,138000.0
2025-01-09,20250109,112,110253,100,식량작물,찹쌀,wholesale,test,11.832376547824003,138000.0
2025-01-10,20250110,112,110253,100,식량작물,찹쌀,wholesale,test,11.832376547824003,138000.0
2025-01-13,20250113,112,110253,100,식량작물,찹쌀,wholesale,test,11.832376547824003,138000.0
2024-01-02,20240102,112,110402,100,식량작물,찹쌀,retail,train,8.003028666384733,2990.0
2025-01-02,20250102,112,110402,100,식량작물,찹쌀,retail,test,8.29154650988391,3990.0
2024-01-02,20240102,112,110403,100,식량작물,찹쌀,retail,train,8.281470857895167,3950.0
